# n Search Insert Delete Maximum Minimum Predecessor Successor
1 0.0000 1.0000 1.0000 1.0000 1.0000 0.0000 0.0000
2 1.0000 2.0000 2.0000 1.0000 1.0000 1.0000 1.0000
3 1.5850 3.0000 3.0000 1.0000 1.0000 1.5850 1.5850
4 2.0000 4.0000 4.0000 1.0000 1.0000 2.0000 2.0000
5 2.3219 5.0000 5.0000 1.0000 1.0000 2.3219 2.3219
6 2.5850 6.0000 6.0000 1.0000 1.0000 2.5850 2.5850
7 2.8074 7.0000 7.0000 1.0000 1.0000 2.8074 2.8074
8 3.0000 8.0000 8.0000 1.0000 1.0000 3.0000 3.0000
9 3.1699 9.0000 9.0000 1.0000 1.0000 3.1699 3.1699
10 3.3219 10.0000 10.0000 1.0000 1.0000 3.3219 3.3219
11 3.4594 11.0000 11.0000 1.0000 1.0000 3.4594 3.4594
12 3.5850 12.0000 12.0000 1.0000 1.0000 3.5850 3.5850
13 3.7004 13.0000 13.0000 1.0000 1.0000 3.7004 3.7004
14 3.8074 14.0000 14.0000 1.0000 1.0000 3.8074 3.8074
15 3.9069 15.0000 15.0000 1.0000 1.0000 3.9069 3.9069
16 4.0000 16.0000 16.0000 1.0000 1.0000 4.0000 4.0000
17 4.0875 17.0000 17.0000 1.0000 1.0000 4.0875 4.0875
18 4.1699 18.0000 18.0000 1.0000 1.0000 4.1699 4.1699
19 4.2479 19.0000 19.0000 1.0000 1.0000 4.2479 4.2479
20 4.3219 20.0000 20.0000 1.0000 1.0000 4.3219 4.3219
21 4.3923 21.0000 21.0000 1.0000 1.0000 4.3923 4.3923
22 4.4594 22.0000 22.0000 1.0000 1.0000 4.4594 4.4594
23 4.5236 23.0000 23.0000 1.0000 1.0000 4.5236 4.5236
24 4.5850 24.0000 24.0000 1.0000 1.0000 4.5850 4.5850
25 4.6439 25.0000 25.0000 1.0000 1.0000 4.6439 4.6439
26 4.7004 26.0000 26.0000 1.0000 1.0000 4.7004 4.7004
27 4.7549 27.0000 27.0000 1.0000 1.0000 4.7549 4.7549
28 4.8074 28.0000 28.0000 1.0000 1.0000 4.8074 4.8074
29 4.8580 29.0000 29.0000 1.0000 1.0000 4.8580 4.8580
30 4.9069 30.0000 30.0000 1.0000 1.0000 4.9069 4.9069
31 4.9542 31.0000 31.0000 1.0000 1.0000 4.9542 4.9542
32 5.0000 32.0000 32.0000 1.0000 1.0000 5.0000 5.0000
33 5.0444 33.0000 33.0000 1.0000 1.0000 5.0444 5.0444
34 5.0875 34.0000 34.0000 1.0000 1.0000 5.0875 5.0875
35 5.1293 35.0000 35.0000 1.0000 1.0000 5.1293 5.1293
36 5.1699 36.0000 36.0000 1.0000 1.0000 5.1699 5.1699
37 5.2095 37.0000 37.0000 1.0000 1.0000 5.2095 5.2095
38 5.2479 38.0000 38.0000 1.0000 1.0000 5.2479 5.2479
39 5.2854 39.0000 39.0000 1.0000 1.0000 5.2854 5.2854
40 5.3219 40.0000 40.0000 1.0000 1.0000 5.3219 5.3219
41 5.3576 41.0000 41.0000 1.0000 1.0000 5.3576 5.3576
42 5.3923 42.0000 42.0000 1.0000 1.0000 5.3923 5.3923
43 5.4263 43.0000 43.0000 1.0000 1.0000 5.4263 5.4263
44 5.4594 44.0000 44.0000 1.0000 1.0000 5.4594 5.4594
45 5.4919 45.0000 45.0000 1.0000 1.0000 5.4919 5.4919
46 5.5236 46.0000 46.0000 1.0000 1.0000 5.5236 5.5236
47 5.5546 47.0000 47.0000 1.0000 1.0000 5.5546 5.5546
48 5.5850 48.0000 48.0000 1.0000 1.0000 5.5850 5.5850
49 5.6147 49.0000 49.0000 1.0000 1.0000 5.6147 5.6147
50 5.6439 50.0000 50.0000 1.0000 1.0000 5.6439 5.6439
51 5.6724 51.0000 51.0000 1.0000 1.0000 5.6724 5.6724
52 5.7004 52.0000 52.0000 1.0000 1.0000 5.7004 5.7004
53 5.7279 53.0000 53.0000 1.0000 1.0000 5.7279 5.7279
54 5.7549 54.0000 54.0000 1.0000 1.0000 5.7549 5.7549
55 5.7814 55.0000 55.0000 1.0000 1.0000 5.7814 5.7814
56 5.8074 56.0000 56.0000 1.0000 1.0000 5.8074 5.8074
57 5.8329 57.0000 57.0000 1.0000 1.0000 5.8329 5.8329
58 5.8580 58.0000 58.0000 1.0000 1.0000 5.8580 5.8580
59 5.8826 59.0000 59.0000 1.0000 1.0000 5.8826 5.8826
60 5.9069 60.0000 60.0000 1.0000 1.0000 5.9069 5.9069
61 5.9307 61.0000 61.0000 1.0000 1.0000 5.9307 5.9307
62 5.9542 62.0000 62.0000 1.0000 1.0000 5.9542 5.9542
63 5.9773 63.0000 63.0000 1.0000 1.0000 5.9773 5.9773
64 6.0000 64.0000 64.0000 1.0000 1.0000 6.0000 6.0000
65 6.0224 65.0000 65.0000 1.0000 1.0000 6.0224 6.0224
66 6.0444 66.0000 66.0000 1.0000 1.0000 6.0444 6.0444
67 6.0661 67.0000 67.0000 1.0000 1.0000 6.0661 6.0661
68 6.0875 68.0000 68.0000 1.0000 1.0000 6.0875 6.0875
69 6.1085 69.0000 69.0000 1.0000 1.0000 6.1085 6.1085
70 6.1293 70.0000 70.0000 1.0000 1.0000 6.1293 6.1293
71 6.1497 71.0000 71.0000 1.0000 1.0000 6.1497 6.1497
72 6.1699 72.0000 72.0000 1.0000 1.0000 6.1699 6.1699
73 6.1898 73.0000 73.0000 1.0000 1.0000 6.1898 6.1898
74 6.2095 74.0000 74.0000 1.0000 1.0000 6.2095 6.2095
75 6.2288 75.0000 75.0000 1.0000 1.0000 6.2288 6.2288
76 6.2479 76.0000 76.0000 1.0000 1.0000 6.2479 6.2479
77 6.2668 77.0000 77.0000 1.0000 1.0000 6.2668 6.2668
78 6.2854 78.0000 78.0000 1.0000 1.0000 6.2854 6.2854
79 6.3038 79.0000 79.0000 1.0000 1.0000 6.3038 6.3038
80 6.3219 80.0000 80.0000 1.0000 1.0000 6.3219 6.3219
81 6.3399 81.0000 81.0000 1.0000 1.0000 6.3399 6.3399
82 6.3576 82.0000 82.0000 1.0000 1.0000 6.3576 6.3576
83 6.3750 83.0000 83.0000 1.0000 1.0000 6.3750 6.3750
84 6.3923 84.0000 84.0000 1.0000 1.0000 6.3923 6.3923
85 6.4094 85.0000 85.0000 1.0000 1.0000 6.4094 6.4094
86 6.4263 86.0000 86.0000 1.0000 1.0000 6.4263 6.4263
87 6.4429 87.0000 87.0000 1.0000 1.0000 6.4429 6.4429
88 6.4594 88.0000 88.0000 1.0000 1.0000 6.4594 6.4594
89 6.4757 89.0000 89.0000 1.0000 1.0000 6.4757 6.4757
90 6.4919 90.0000 90.0000 1.0000 1.0000 6.4919 6.4919
91 6.5078 91.0000 91.0000 1.0000 1.0000 6.5078 6.5078
92 6.5236 92.0000 92.0000 1.0000 1.0000 6.5236 6.5236
93 6.5392 93.0000 93.0000 1.0000 1.0000 6.5392 6.5392
94 6.5546 94.0000 94.0000 1.0000 1.0000 6.5546 6.5546
95 6.5699 95.0000 95.0000 1.0000 1.0000 6.5699 6.5699
96 6.5850 96.0000 96.0000 1.0000 1.0000 6.5850 6.5850
97 6.5999 97.0000 97.0000 1.0000 1.0000 6.5999 6.5999
98 6.6147 98.0000 98.0000 1.0000 1.0000 6.6147 6.6147
99 6.6294 99.0000 99.0000 1.0000 1.0000 6.6294 6.6294
100 6.6439 100.0000 100.0000 1.0000 1.0000 6.6439 6.6439
101 6.6582 101.0000 101.0000 1.0000 1.0000 6.6582 6.6582
102 6.6724 102.0000 102.0000 1.0000 1.0000 6.6724 6.6724
103 6.6865 103.0000 103.0000 1.0000 1.0000 6.6865 6.6865
104 6.7004 104.0000 104.0000 1.0000 1.0000 6.7004 6.7004
105 6.7142 105.0000 105.0000 1.0000 1.0000 6.7142 6.7142
106 6.7279 106.0000 106.0000 1.0000 1.0000 6.7279 6.7279
107 6.7415 107.0000 107.0000 1.0000 1.0000 6.7415 6.7415
108 6.7549 108.0000 108.0000 1.0000 1.0000 6.7549 6.7549
109 6.7682 109.0000 109.0000 1.0000 1.0000 6.7682 6.7682
110 6.7814 110.0000 110.0000 1.0000 1.0000 6.7814 6.7814
111 6.7944 111.0000 111.0000 1.0000 1.0000 6.7944 6.7944
112 6.8074 112.0000 112.0000 1.0000 1.0000 6.8074 6.8074
113 6.8202 113.0000 113.0000 1.0000 1.0000 6.8202 6.8202
114 6.8329 114.0000 114.0000 1.0000 1.0000 6.8329 6.8329
115 6.8455 115.0000 115.0000 1.0000 1.0000 6.8455 6.8455
116 6.8580 116.0000 116.0000 1.0000 1.0000 6.8580 6.8580
117 6.8704 117.0000 117.0000 1.0000 1.0000 6.8704 6.8704
118 6.8826 118.0000 118.0000 1.0000 1.0000 6.8826 6.8826
119 6.8948 119.0000 119.0000 1.0000 1.0000 6.8948 6.8948
120 6.9069 120.0000 120.0000 1.0000 1.0000 6.9069 6.9069
121 6.9189 121.0000 121.0000 1.0000 1.0000 6.9189 6.9189
122 6.9307 122.0000 122.0000 1.0000 1.0000 6.9307 6.9307
123 6.9425 123.0000 123.0000 1.0000 1.0000 6.9425 6.9425
124 6.9542 124.0000 124.0000 1.0000 1.0000 6.9542 6.9542
125 6.9658 125.0000 125.0000 1.0000 1.0000 6.9658 6.9658
126 6.9773 126.0000 126.0000 1.0000 1.0000 6.9773 6.9773
127 6.9887 127.0000 127.0000 1.0000 1.0000 6.9887 6.9887
128 7.0000 128.0000 128.0000 1.0000 1.0000 7.0000 7.0000
129 7.0112 129.0000 129.0000 1.0000 1.0000 7.0112 7.0112
130 7.0224 130.0000 130.0000 1.0000 1.0000 7.0224 7.0224
131 7.0334 131.0000 131.0000 1.0000 1.0000 7.0334 7.0334
132 7.0444 132.0000 132.0000 1.0000 1.0000 7.0444 7.0444
133 7.0553 133.0000 133.0000 1.0000 1.0000 7.0553 7.0553
134 7.0661 134.0000 134.0000 1.0000 1.0000 7.0661 7.0661
135 7.0768 135.0000 135.0000 1.0000 1.0000 7.0768 7.0768
136 7.0875 136.0000 136.0000 1.0000 1.0000 7.0875 7.0875
137 7.0980 137.0000 137.0000 1.0000 1.0000 7.0980 7.0980
138 7.1085 138.0000 138.0000 1.0000 1.0000 7.1085 7.1085
139 7.1189 139.0000 139.0000 1.0000 1.0000 7.1189 7.1189
140 7.1293 140.0000 140.0000 1.0000 1.0000 7.1293 7.1293
141 7.1396 141.0000 141.0000 1.0000 1.0000 7.1396 7.1396
142 7.1497 142.0000 142.0000 1.0000 1.0000 7.1497 7.1497
143 7.1599 143.0000 143.0000 1.0000 1.0000 7.1599 7.1599
144 7.1699 144.0000 144.0000 1.0000 1.0000 7.1699 7.1699
145 7.1799 145.0000 145.0000 1.0000 1.0000 7.1799 7.1799
146 7.1898 146.0000 146.0000 1.0000 1.0000 7.1898 7.1898
147 7.1997 147.0000 147.0000 1.0000 1.0000 7.1997 7.1997
148 7.2095 148.0000 148.0000 1.0000 1.0000 7.2095 7.2095
149 7.2192 149.0000 149.0000 1.0000 1.0000 7.2192 7.2192
150 7.2288 150.0000 150.0000 1.0000 1.0000 7.2288 7.2288
151 7.2384 151.0000 151.0000 1.0000 1.0000 7.2384 7.2384
152 7.2479 152.0000 152.0000 1.0000 1.0000 7.2479 7.2479
153 7.2574 153.0000 153.0000 1.0000 1.0000 7.2574 7.2574
154 7.2668 154.0000 154.0000 1.0000 1.0000 7.2668 7.2668
155 7.2761 155.0000 155.0000 1.0000 1.0000 7.2761 7.2761
156 7.2854 156.0000 156.0000 1.0000 1.0000 7.2854 7.2854
157 7.2946 157.0000 157.0000 1.0000 1.0000 7.2946 7.2946
158 7.3038 158.0000 158.0000 1.0000 1.0000 7.3038 7.3038
159 7.3129 159.0000 159.0000 1.0000 1.0000 7.3129 7.3129
160 7.3219 160.0000 160.0000 1.0000 1.0000 7.3219 7.3219
161 7.3309 161.0000 161.0000 1.0000 1.0000 7.3309 7.3309
162 7.3399 162.0000 162.0000 1.0000 1.0000 7.3399 7.3399
163 7.3487 163.0000 163.0000 1.0000 1.0000 7.3487 7.3487
164 7.3576 164.0000 164.0000 1.0000 1.0000 7.3576 7.3576
165 7.3663 165.0000 165.0000 1.0000 1.0000 7.3663 7.3663
166 7.3750 166.0000 166.0000 1.0000 1.0000 7.3750 7.3750
167 7.3837 167.0000 167.0000 1.0000 1.0000 7.3837 7.3837
168 7.3923 168.0000 168.0000 1.0000 1.0000 7.3923 7.3923
169 7.4009 169.0000 169.0000 1.0000 1.0000 7.4009 7.4009
170 7.4094 170.0000 170.0000 1.0000 1.0000 7.4094 7.4094
171 7.4179 171.0000 171.0000 1.0000 1.0000 7.4179 7.4179
172 7.4263 172.0000 172.0000 1.0000 1.0000 7.4263 7.4263
173 7.4346 173.0000 173.0000 1.0000 1.0000 7.4346 7.4346
174 7.4429 174.0000 174.0000 1.0000 1.0000 7.4429 7.4429
175 7.4512 175.0000 175.0000 1.0000 1.0000 7.4512 7.4512
176 7.4594 176.0000 176.0000 1.0000 1.0000 7.4594 7.4594
177 7.4676 177.0000 177.0000 1.0000 1.0000 7.4676 7.4676
178 7.4757 178.0000 178.0000 1.0000 1.0000 7.4757 7.4757
179 7.4838 179.0000 179.0000 1.0000 1.0000 7.4838 7.4838
180 7.4919 180.0000 180.0000 1.0000 1.0000 7.4919 7.4919
181 7.4998 181.0000 181.0000 1.0000 1.0000 7.4998 7.4998
182 7.5078 182.0000 182.0000 1.0000 1.0000 7.5078 7.5078
183 7.5157 183.0000 183.0000 1.0000 1.0000 7.5157 7.5157
184 7.5236 184.0000 184.0000 1.0000 1.0000 7.5236 7.5236
185 7.5314 185.0000 185.0000 1.0000 1.0000 7.5314 7.5314
186 7.5392 186.0000 186.0000 1.0000 1.0000 7.5392 7.5392
187 7.5469 187.0000 187.0000 1.0000 1.0000 7.5469 7.5469
188 7.5546 188.0000 188.0000 1.0000 1.0000 7.5546 7.5546
189 7.5622 189.0000 189.0000 1.0000 1.0000 7.5622 7.5622
190 7.5699 190.0000 190.0000 1.0000 1.0000 7.5699 7.5699
191 7.5774 191.0000 191.0000 1.0000 1.0000 7.5774 7.5774
192 7.5850 192.0000 192.0000 1.0000 1.0000 7.5850 7.5850
193 7.5925 193.0000 193.0000 1.0000 1.0000 7.5925 7.5925
194 7.5999 194.0000 194.0000 1.0000 1.0000 7.5999 7.5999
195 7.6073 195.0000 195.0000 1.0000 1.0000 7.6073 7.6073
196 7.6147 196.0000 196.0000 1.0000 1.0000 7.6147 7.6147
197 7.6221 197.0000 197.0000 1.0000 1.0000 7.6221 7.6221
198 7.6294 198.0000 198.0000 1.0000 1.0000 7.6294 7.6294
199 7.6366 199.0000 199.0000 1.0000 1.0000 7.6366 7.6366
200 7.6439 200.0000 200.0000 1.0000 1.0000 7.6439 7.6439
201 7.6511 201.0000 201.0000 1.0000 1.0000 7.6511 7.6511
202 7.6582 202.0000 202.0000 1.0000 1.0000 7.6582 7.6582
203 7.6653 203.0000 203.0000 1.0000 1.0000 7.6653 7.6653
204 7.6724 204.0000 204.0000 1.0000 1.0000 7.6724 7.6724
205 7.6795 205.0000 205.0000 1.0000 1.0000 7.6795 7.6795
206 7.6865 206.0000 206.0000 1.0000 1.0000 7.6865 7.6865
207 7.6935 207.0000 207.0000 1.0000 1.0000 7.6935 7.6935
208 7.7004 208.0000 208.0000 1.0000 1.0000 7.7004 7.7004
209 7.7074 209.0000 209.0000 1.0000 1.0000 7.7074 7.7074
210 7.7142 210.0000 210.0000 1.0000 1.0000 7.7142 7.7142
211 7.7211 211.0000 211.0000 1.0000 1.0000 7.7211 7.7211
212 7.7279 212.0000 212.0000 1.0000 1.0000 7.7279 7.7279
213 7.7347 213.0000 213.0000 1.0000 1.0000 7.7347 7.7347
214 7.7415 214.0000 214.0000 1.0000 1.0000 7.7415 7.7415
215 7.7482 215.0000 215.0000 1.0000 1.0000 7.7482 7.7482
216 7.7549 216.0000 216.0000 1.0000 1.0000 7.7549 7.7549
217 7.7616 217.0000 217.0000 1.0000 1.0000 7.7616 7.7616
218 7.7682 218.0000 218.0000 1.0000 1.0000 7.7682 7.7682
219 7.7748 219.0000 219.0000 1.0000 1.0000 7.7748 7.7748
220 7.7814 220.0000 220.0000 1.0000 1.0000 7.7814 7.7814
221 7.7879 221.0000 221.0000 1.0000 1.0000 7.7879 7.7879
222 7.7944 222.0000 222.0000 1.0000 1.0000 7.7944 7.7944
223 7.8009 223.0000 223.0000 1.0000 1.0000 7.8009 7.8009
224 7.8074 224.0000 224.0000 1.0000 1.0000 7.8074 7.8074
225 7.8138 225.0000 225.0000 1.0000 1.0000 7.8138 7.8138
226 7.8202 226.0000 226.0000 1.0000 1.0000 7.8202 7.8202
227 7.8265 227.0000 227.0000 1.0000 1.0000 7.8265 7.8265
228 7.8329 228.0000 228.0000 1.0000 1.0000 7.8329 7.8329
229 7.8392 229.0000 229.0000 1.0000 1.0000 7.8392 7.8392
230 7.8455 230.0000 230.0000 1.0000 1.0000 7.8455 7.8455
231 7.8517 231.0000 231.0000 1.0000 1.0000 7.8517 7.8517
232 7.8580 232.0000 232.0000 1.0000 1.0000 7.8580 7.8580
233 7.8642 233.0000 233.0000 1.0000 1.0000 7.8642 7.8642
234 7.8704 234.0000 234.0000 1.0000 1.0000 7.8704 7.8704
235 7.8765 235.0000 235.0000 1.0000 1.0000 7.8765 7.8765
236 7.8826 236.0000 236.0000 1.0000 1.0000 7.8826 7.8826
237 7.8887 237.0000 237.0000 1.0000 1.0000 7.8887 7.8887
238 7.8948 238.0000 238.0000 1.0000 1.0000 7.8948 7.8948
239 7.9009 239.0000 239.0000 1.0000 1.0000 7.9009 7.9009
240 7.9069 240.0000 240.0000 1.0000 1.0000 7.9069 7.9069
241 7.9129 241.0000 241.0000 1.0000 1.0000 7.9129 7.9129
242 7.9189 242.0000 242.0000 1.0000 1.0000 7.9189 7.9189
243 7.9248 243.0000 243.0000 1.0000 1.0000 7.9248 7.9248
244 7.9307 244.0000 244.0000 1.0000 1.0000 7.9307 7.9307
245 7.9366 245.0000 245.0000 1.0000 1.0000 7.9366 7.9366
246 7.9425 246.0000 246.0000 1.0000 1.0000 7.9425 7.9425
247 7.9484 247.0000 247.0000 1.0000 1.0000 7.9484 7.9484
248 7.9542 248.0000 248.0000 1.0000 1.0000 7.9542 7.9542
249 7.9600 249.0000 249.0000 1.0000 1.0000 7.9600 7.9600
250 7.9658 250.0000 250.0000 1.0000 1.0000 7.9658 7.9658
251 7.9715 251.0000 251.0000 1.0000 1.0000 7.9715 7.9715
252 7.9773 252.0000 252.0000 1.0000 1.0000 7.9773 7.9773
253 7.9830 253.0000 253.0000 1.0000 1.0000 7.9830 7.9830
254 7.9887 254.0000 254.0000 1.0000 1.0000 7.9887 7.9887
255 7.9944 255.0000 255.0000 1.0000 1.0000 7.9944 7.9944
256 8.0000 256.0000 256.0000 1.0000 1.0000 8.0000 8.0000
257 8.0056 257.0000 257.0000 1.0000 1.0000 8.0056 8.0056
258 8.0112 258.0000 258.0000 1.0000 1.0000 8.0112 8.0112
259 8.0168 259.0000 259.0000 1.0000 1.0000 8.0168 8.0168
260 8.0224 260.0000 260.0000 1.0000 1.0000 8.0224 8.0224
261 8.0279 261.0000 261.0000 1.0000 1.0000 8.0279 8.0279
262 8.0334 262.0000 262.0000 1.0000 1.0000 8.0334 8.0334
263 8.0389 263.0000 263.0000 1.0000 1.0000 8.0389 8.0389
