# k Method1_O(nk^2) Method2_O(nklogk)
2 30.0000 20.0000
3 60.0000 47.5489
4 100.0000 80.0000
5 150.0000 116.0964
6 210.0000 155.0978
7 280.0000 196.5148
8 360.0000 240.0000
9 450.0000 285.2933
10 550.0000 332.1928
11 660.0000 380.5375
12 780.0000 430.1955
13 910.0000 481.0572
14 1050.0000 533.0297
15 1200.0000 586.0336
16 1360.0000 640.0000
17 1530.0000 694.8687
18 1710.0000 750.5865
19 1900.0000 807.1062
20 2100.0000 864.3856
21 2310.0000 922.3867
22 2530.0000 981.0750
23 2760.0000 1040.4192
24 3000.0000 1100.3910
25 3250.0000 1160.9640
26 3510.0000 1222.1143
27 3780.0000 1283.8196
28 4060.0000 1346.0594
29 4350.0000 1408.8145
30 4650.0000 1472.0672
31 4960.0000 1535.8009
32 5280.0000 1600.0000
33 5610.0000 1664.6501
34 5950.0000 1729.7374
35 6300.0000 1795.2491
36 6660.0000 1861.1730
37 7030.0000 1927.4977
38 7410.0000 1994.2125
39 7800.0000 2061.3069
40 8200.0000 2128.7712
41 8610.0000 2196.5963
42 9030.0000 2264.7733
43 9460.0000 2333.2938
44 9900.0000 2402.1499
45 10350.0000 2471.3339
46 10810.0000 2540.8385
47 11280.0000 2610.6568
48 11760.0000 2680.7820
49 12250.0000 2751.2078
50 12750.0000 2821.9281
51 13260.0000 2892.9369
52 13780.0000 2964.2287
53 14310.0000 3035.7978
54 14850.0000 3107.6393
55 15400.0000 3179.7478
56 15960.0000 3252.1188
57 16530.0000 3324.7473
58 17110.0000 3397.6290
59 17700.0000 3470.7594
60 18300.0000 3544.1344
61 18910.0000 3617.7498
62 19530.0000 3691.6017
63 20160.0000 3765.6864
64 20800.0000 3840.0000
65 21450.0000 3914.5391
66 22110.0000 3989.3001
67 22780.0000 4064.2798
68 23460.0000 4139.4747
69 24150.0000 4214.8819
70 24850.0000 4290.4981
71 25560.0000 4366.3205
72 26280.0000 4442.3460
73 27010.0000 4518.5719
74 27750.0000 4594.9955
75 28500.0000 4671.6140
76 29260.0000 4748.4249
77 30030.0000 4825.4256
78 30810.0000 4902.6137
79 31600.0000 4979.9868
80 32400.0000 5057.5425
81 33210.0000 5135.2785
82 34030.0000 5213.1926
83 34860.0000 5291.2827
84 35700.0000 5369.5466
85 36550.0000 5447.9823
86 37410.0000 5526.5877
87 38280.0000 5605.3608
88 39160.0000 5684.2998
89 40050.0000 5763.4028
90 40950.0000 5842.6678
91 41860.0000 5922.0931
92 42780.0000 6001.6770
93 43710.0000 6081.4177
94 44650.0000 6161.3135
95 45600.0000 6241.3628
96 46560.0000 6321.5640
97 47530.0000 6401.9155
98 48510.0000 6482.4156
99 49500.0000 6563.0631
100 50500.0000 6643.8562
