Enter the maximum array size to test: 100
Enter the step size for increasing array size: 3
n = 3 | Optimized: 3 comparisons | Standard: 3 comparisons
n = 6 | Optimized: 14 comparisons | Standard: 15 comparisons
n = 9 | Optimized: 36 comparisons | Standard: 36 comparisons
n = 12 | Optimized: 66 comparisons | Standard: 66 comparisons
n = 15 | Optimized: 104 comparisons | Standard: 105 comparisons
n = 18 | Optimized: 147 comparisons | Standard: 153 comparisons
n = 21 | Optimized: 189 comparisons | Standard: 210 comparisons
n = 24 | Optimized: 266 comparisons | Standard: 276 comparisons
n = 27 | Optimized: 341 comparisons | Standard: 351 comparisons
n = 30 | Optimized: 420 comparisons | Standard: 435 comparisons
n = 33 | Optimized: 500 comparisons | Standard: 528 comparisons
n = 36 | Optimized: 627 comparisons | Standard: 630 comparisons
n = 39 | Optimized: 720 comparisons | Standard: 741 comparisons
n = 42 | Optimized: 858 comparisons | Standard: 861 comparisons
n = 45 | Optimized: 870 comparisons | Standard: 990 comparisons
n = 48 | Optimized: 1083 comparisons | Standard: 1128 comparisons
n = 51 | Optimized: 1230 comparisons | Standard: 1275 comparisons
n = 54 | Optimized: 1326 comparisons | Standard: 1431 comparisons
n = 57 | Optimized: 1581 comparisons | Standard: 1596 comparisons
n = 60 | Optimized: 1692 comparisons | Standard: 1770 comparisons
n = 63 | Optimized: 1932 comparisons | Standard: 1953 comparisons
n = 66 | Optimized: 2109 comparisons | Standard: 2145 comparisons
n = 69 | Optimized: 2318 comparisons | Standard: 2346 comparisons
n = 72 | Optimized: 2465 comparisons | Standard: 2556 comparisons
n = 75 | Optimized: 2730 comparisons | Standard: 2775 comparisons
n = 78 | Optimized: 3002 comparisons | Standard: 3003 comparisons
n = 81 | Optimized: 3149 comparisons | Standard: 3240 comparisons
n = 84 | Optimized: 3480 comparisons | Standard: 3486 comparisons
n = 87 | Optimized: 3731 comparisons | Standard: 3741 comparisons
n = 90 | Optimized: 3969 comparisons | Standard: 4005 comparisons
n = 93 | Optimized: 4278 comparisons | Standard: 4278 comparisons
n = 96 | Optimized: 4494 comparisons | Standard: 4560 comparisons
n = 99 | Optimized: 4815 comparisons | Standard: 4851 comparisons

Plot generated successfully.
PS C:\Users\sonu8\OneDrive\Desktop\Daa lab\lab1\Lab-1-again\Lab- 1\Q2\output> 


